
Docket ID,Docket Title,Agency,Docket Type,Petition Number,
"EPA-HQ-OPP-2019-0066","Glyphosate: Environmental Working Group Petition to Reduce the Glyphosate Tolerance on Oats and Prohibit Preharvest Use on Oats ","EPA","Nonrulemaking",N/A,


Document Title,Document Type,Attachment Count,Submitter Last Name,Submitter First Name,Organization,Document ID,Posted Date,Received Date,Comment Start Date,Comment Due Date,Implementation Date,Effective Date,Related RINs,Document SubType,Subject,Abstract,Status,Source Citation,OMB Approval Number,FR Citation,Federal Register Number,Start End Page,Special Instructions,Legacy ID,Post Mark Date,File Type,Number Of Pages,Paper Width,Paper Length,Exhibit Type,Exhibit Location,Document Field_1,Document Field_2,Document Detail
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OPP-2019-0066-0035","05/13/2019","05/10/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"05/10/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OPP-2019-0066-0035
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OPP-2019-0066-0007","05/06/2019","05/06/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OPP-2019-0066-0007
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OPP-2019-0066-0026","05/13/2019","05/08/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"05/08/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OPP-2019-0066-0026
"Comment submitted by P. Panagos","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OPP-2019-0066-0015","05/13/2019","05/08/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"05/08/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OPP-2019-0066-0015
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OPP-2019-0066-0018","05/13/2019","05/08/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"05/08/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OPP-2019-0066-0018
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OPP-2019-0066-0027","05/13/2019","05/08/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"05/08/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OPP-2019-0066-0027
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OPP-2019-0066-0011","05/13/2019","05/07/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"05/07/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OPP-2019-0066-0011
"Comment submitted by  K. Driscoll","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OPP-2019-0066-0003","05/06/2019","05/06/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OPP-2019-0066-0003
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OPP-2019-0066-0004","05/06/2019","05/06/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OPP-2019-0066-0004
"Comment submitted by M. V. Galvin","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OPP-2019-0066-0017","05/13/2019","05/08/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"05/08/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OPP-2019-0066-0017
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OPP-2019-0066-0019","05/13/2019","05/08/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"05/08/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OPP-2019-0066-0019
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OPP-2019-0066-0028","05/13/2019","05/09/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"05/09/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OPP-2019-0066-0028
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OPP-2019-0066-0008","05/13/2019","05/07/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"05/07/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OPP-2019-0066-0008
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OPP-2019-0066-0022","05/13/2019","05/08/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"05/08/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OPP-2019-0066-0022
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OPP-2019-0066-0012","05/13/2019","05/07/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"05/07/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OPP-2019-0066-0012
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OPP-2019-0066-0030","05/13/2019","05/09/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"05/09/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OPP-2019-0066-0030
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OPP-2019-0066-0034","05/13/2019","05/09/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"05/09/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OPP-2019-0066-0034
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OPP-2019-0066-0025","05/13/2019","05/08/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"05/08/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OPP-2019-0066-0025
"Petition to Modify the Tolerance of Glyphosate in Oats to 0.1 ppm and Require Glyphosate-Containing Product Labels to Explicitly Prohibit the Use of Glyphosate as a Preharvest Desiccant","SUPPORTING & RELATED MATERIALS",N/A,N/A,N/A,N/A,"EPA-HQ-OPP-2019-0066-0002","05/06/2019","04/25/2019",N/A,N/A,N/A,N/A,N/A,"Petition","glyphosate; oat tolerance; registration review",N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"pdf","27",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OPP-2019-0066-0002
"Anonymous public comment","PUBLIC SUBMISSIONS",N/A,N/A,N/A,N/A,"EPA-HQ-OPP-2019-0066-0016","05/13/2019","05/08/2019",N/A,N/A,N/A,N/A,N/A,"Public Comment",N/A,N/A,"Posted",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"05/08/2019",N/A,"1",N/A,N/A,N/A,N/A,N/A,N/A,https://www.regulations.gov/document?D=EPA-HQ-OPP-2019-0066-0016
